day,hour,camera,arena,infection.status,track,distance.traveled.pixels,tot.distance.cm,frames,minutes.moving,minutes.staying,speed.cmxmin,tot.distance.m,seconds.moving,speed.mxsec,speed.cmxsec
day 1,hour 2,cam 4,arena 4,infected,2,23433.68302,620.02,12839,57.3,0,10.8,6.2002,429.3979933,0.01,1.44
day 1,hour 2,cam 4,arena 4,control,3,23510.22008,622.04,12247,54.6,2.6,11.4,6.2204,409.5986622,0.02,1.52
day 1,hour 2,cam 4,arena 4,control,4,28227.15405,746.84,12411,55.3,1.9,13.5,7.4684,415.083612,0.02,1.8
day 2,hour 2,cam 1,arena 5,infected,1,7440.261663,196.86,3998,17.8,39.9,11.1,1.9686,133.7123746,0.01,1.47
day 2,hour 2,cam 1,arena 5,infected,2,26673.57591,705.74,11390,50.8,6.9,13.9,7.0574,380.9364548,0.02,1.85
day 2,hour 2,cam 1,arena 5,control,3,24273.4471,642.23,12945,57.7,0,11.1,6.4223,432.9431438,0.01,1.48
day 2,hour 2,cam 1,arena 5,control,4,39937.69931,1056.68,12228,54.5,3.2,19.4,10.5668,408.9632107,0.03,2.58
day 2,hour 2,cam 2,arena 6,infected,1,25294.81473,669.26,11871,52.9,5.9,12.7,6.6926,397.0234114,0.02,1.69
day 2,hour 2,cam 2,arena 6,infected,2,0,0,0,0,58.8,NA,0,0,NA,NA
day 2,hour 2,cam 2,arena 6,control,3,15166.82913,401.29,12420,55.4,3.4,7.2,4.0129,415.3846154,0.01,0.97
day 2,hour 2,cam 2,arena 6,control,4,23834.62914,630.62,13192,58.8,0,10.7,6.3062,441.2040134,0.01,1.43
day 2,hour 2,cam 3,arena 7,infected,1,24814.86691,656.56,12604,56.2,0,11.7,6.5656,421.5384615,0.02,1.56
day 2,hour 2,cam 3,arena 7,infected,2,14233.2418,376.59,10909,48.6,7.6,7.7,3.7659,364.8494983,0.01,1.03
day 2,hour 2,cam 3,arena 7,control,3,30214.92799,799.44,12413,55.4,0.9,14.4,7.9944,415.1505017,0.02,1.93
day 2,hour 2,cam 3,arena 7,control,4,12875.62091,340.67,10005,44.6,11.6,7.6,3.4067,334.6153846,0.01,1.02
day 2,hour 2,cam 4,arena 8,infected,1,19108.89953,505.59,13410,59.8,0.2,8.5,5.0559,448.4949833,0.01,1.13
day 2,hour 2,cam 4,arena 8,infected,2,26867.31963,710.86,12414,55.4,4.6,12.8,7.1086,415.1839465,0.02,1.71
day 2,hour 2,cam 4,arena 8,control,3,25710.23739,680.25,13449,60,0,11.3,6.8025,449.7993311,0.02,1.51
day 2,hour 2,cam 4,arena 8,control,4,15853.40271,419.45,13123,58.5,1.5,7.2,4.1945,438.8963211,0.01,0.96
day 3,hour 2,cam 1,arena 9,infected,1,25732.66753,680.84,13213,58.9,0,11.6,6.8084,441.9063545,0.02,1.54
day 3,hour 2,cam 1,arena 9,infected,2,27937.55046,739.18,12978,57.9,1,12.8,7.3918,434.0468227,0.02,1.7
day 3,hour 2,cam 1,arena 9,control,3,8132.307493,215.17,5513,24.6,34.3,8.7,2.1517,184.3812709,0.01,1.17
day 3,hour 2,cam 1,arena 9,control,4,29942.48202,792.23,12726,56.7,2.2,14,7.9223,425.6187291,0.02,1.86
day 3,hour 2,cam 2,arena 10,infected,1,20958.85998,554.54,13368,59.6,0,9.3,5.5454,447.090301,0.01,1.24
day 3,hour 2,cam 2,arena 10,infected,2,17316.87116,458.18,12400,55.3,4.3,8.3,4.5818,414.7157191,0.01,1.1
day 3,hour 2,cam 2,arena 10,control,3,19240.70412,509.08,13320,59.4,0.2,8.6,5.0908,445.4849498,0.01,1.14
day 3,hour 2,cam 2,arena 10,control,4,16293.87645,431.11,12692,56.6,3,7.6,4.3111,424.4816054,0.01,1.02
day 3,hour 2,cam 3,arena 11,infected,1,18945.24347,501.26,12895,57.5,0,8.7,5.0126,431.270903,0.01,1.16
day 3,hour 2,cam 3,arena 11,infected,2,18381.38169,486.34,12529,55.9,1.6,8.7,4.8634,419.0301003,0.01,1.16
day 3,hour 2,cam 3,arena 11,control,3,0,0,5685,25.4,32.2,0,0,190.1337793,0,0
day 3,hour 2,cam 3,arena 11,control,4,0,0,8929,39.8,17.7,0,0,298.6287625,0,0
day 3,hour 2,cam 4,arena 12,infected,1,21323.14363,564.17,13289,59.3,0.2,9.5,5.6417,444.4481605,0.01,1.27
day 3,hour 2,cam 4,arena 12,infected,2,20186.65244,534.11,12518,55.8,3.7,9.6,5.3411,418.6622074,0.01,1.28
day 3,hour 2,cam 4,arena 12,control,3,22925.626,606.57,13339,59.5,0,10.2,6.0657,446.1204013,0.01,1.36
day 3,hour 2,cam 4,arena 12,control,4,23768.69692,628.88,12493,55.7,3.8,11.3,6.2888,417.826087,0.02,1.51
day 4,hour 2,cam 1,arena 13,infected,1,19440.06778,514.35,13424,59.9,0,8.6,5.1435,448.9632107,0.01,1.15
day 4,hour 2,cam 1,arena 13,infected,2,29811.37507,788.76,13348,59.5,0.3,13.3,7.8876,446.4214047,0.02,1.77
day 4,hour 2,cam 1,arena 13,control,3,22370.59789,591.89,12897,57.5,2.4,10.3,5.9189,431.3377926,0.01,1.37
day 4,hour 2,cam 1,arena 13,control,4,19003.70235,502.81,13276,59.2,0.7,8.5,5.0281,444.0133779,0.01,1.13
day 4,hour 2,cam 2,arena 14,infected,1,0,0,11036,49.2,7.2,0,0,369.09699,0,0
day 4,hour 2,cam 2,arena 14,infected,2,8201.102198,216.99,6663,29.7,26.7,7.3,2.1699,222.8428094,0.01,0.97
day 4,hour 2,cam 2,arena 14,control,3,6742.664307,178.4,4483,20,36.4,8.9,1.784,149.9331104,0.01,1.19
day 4,hour 2,cam 2,arena 14,control,4,25038.02434,662.46,12648,56.4,0,11.7,6.6246,423.0100334,0.02,1.57
day 4,hour 2,cam 3,arena 15,infected,1,17911.2473,473.9,13176,58.8,0.9,8.1,4.739,440.6688963,0.01,1.08
day 4,hour 2,cam 3,arena 15,infected,2,0,0,13369,59.6,0,0,0,447.1237458,0,0
day 4,hour 2,cam 3,arena 15,control,3,30127.65768,797.13,11979,53.4,6.2,14.9,7.9713,400.6354515,0.02,1.99
day 4,hour 2,cam 3,arena 15,control,4,33571.81233,888.25,13194,58.8,0.8,15.1,8.8825,441.270903,0.02,2.01
day 4,hour 2,cam 4,arena 16,infected,1,26878.54247,711.16,13391,59.7,0.4,11.9,7.1116,447.8595318,0.02,1.59
